,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
96,2010,99.7,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
97,2011,99.85722351,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
98,2012,99.96487427,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
99,2013,99.99700928,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
100,2014,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
101,2015,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
102,2016,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
103,2017,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
104,2018,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
105,2019,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
106,2010,76.3,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
107,2011,67.6,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
108,2012,79.9,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
109,2013,80.73804474,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
110,2014,83.58521271,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
111,2015,88,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
112,2016,89.53488159,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
113,2017,92.45683289,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
114,2018,95.19329834,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
115,2019,97.81528473,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
116,2010,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
117,2011,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
118,2012,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
119,2013,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
120,2014,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
121,2015,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
122,2016,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
123,2017,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
124,2018,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
125,2019,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
