,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
1,2010,99.7,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2011,99.85722351,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2012,99.96487427,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2013,99.99700928,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2014,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2015,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2016,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2017,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2018,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2019,100,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2010,76.3,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2011,67.6,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
13,2012,79.9,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
14,2013,80.73804474,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
15,2014,83.58521271,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
16,2015,88,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
17,2016,89.53488159,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
18,2017,92.45683289,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
19,2018,95.19329834,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
20,2019,97.81528473,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
21,2010,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
22,2011,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
23,2012,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
24,2013,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
25,2014,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
26,2015,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
27,2016,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
28,2017,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
29,2018,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
30,2019,100,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
