,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,11.8699998856,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
1,2011,10.7700004578,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
2,2012,10.6899995804,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
3,2013,10.5900001526,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
4,2014,10.4899997711,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
5,2015,10.3800001144,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
6,2016,10.279999733,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
7,2017,10.1599998474,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
8,2018,9.8800001144,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2019,9.6000003815,SL.AGR.EMPL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2010,1.2699999809,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
11,2011,0.6399999857,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
12,2012,0.6200000048000001,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
13,2013,0.6200000048000001,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
14,2014,0.5500000119,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
15,2015,0.2599999905,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
16,2016,0.1299999952,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
17,2017,0.0599999987,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
18,2018,0.1000000015,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
19,2019,0.0599999987,SL.AGR.EMPL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
20,2010,3.2300000191000002,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
21,2011,2.8199999332,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
22,2012,2.7999999523,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
23,2013,2.6199998856,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
24,2014,2.7999999523,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
25,2015,2.6400001049,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
26,2016,2.6199998856,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
27,2017,2.5999999045999997,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
28,2018,2.6199998856,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
29,2019,2.5599999428,SL.AGR.EMPL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
30,2010,12.6599998474,SL.AGR.EMPL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
