,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,40266747.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1,2011,50670016.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
2,2012,47449657.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
3,2013,50703913.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
4,2014,50874215.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
5,2015,55979853.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
6,2016,61147070.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
7,2017,76396702.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
8,2018,70591016.0,AG.PRD.CREL.MT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
9,2010,51862850.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
10,2011,52628364.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
11,2012,52801014.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
12,2013,54357477.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
13,2014,55241123.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
14,2015,55438379.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
15,2016,54262297.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
16,2017,58495624.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
17,2018,60817838.0,AG.PRD.CREL.MT,BGD,Bangladesh,South Asia,Lower middle income,IDA
18,2010,75160152.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
19,2011,77586276.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
20,2012,89908244.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
21,2013,100901726.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
22,2014,101402184.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
23,2015,106027826.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
24,2016,84167849.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
25,2017,117979368.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
26,2018,103064737.0,AG.PRD.CREL.MT,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
27,2010,497920509.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
28,2011,521171808.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
29,2012,541163568.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
30,2013,554422547.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
31,2014,559325222.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
32,2015,623197344.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
33,2016,618011522.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
34,2017,619879237.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
35,2018,612170193.0,AG.PRD.CREL.MT,CHN,China,East Asia & Pacific,Upper middle income,IBRD
36,2010,65839202.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
37,2011,63954886.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
38,2012,68341731.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
39,2013,67537681.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
40,2014,72579315.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
41,2015,72875854.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
42,2016,54398704.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
43,2017,68730244.0,AG.PRD.CREL.MT,FRA,France,Europe & Central Asia,High income,Not classified
