Season,Site,Month,Day,Year,ND Coach,W/L/T,Score,ND Rank,Opponent,Opp. Coach,Opp. Rank
1887,HOME,NOV,23,1887,NO COACH,L,0-8,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,APR,20,1888,NO COACH,L,6-26,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,APR,21,1888,NO COACH,L,4-10,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,DEC,6,1888,NO COACH,W,20-0,No Poll,HARVARD PREP,UNKNOWN,No Poll
1889,AWAY,NOV,14,1889,NO COACH,W,9-0,No Poll,NORTHWESTERN,NO COACH,No Poll
1892,HOME,OCT,19,1892,NO COACH,W,56-0,No Poll,SOUTH BEND HS,UNKNOWN,No Poll
1892,HOME,NOV,24,1892,NO COACH,T,10-10,No Poll,HILLSDALE,NO COACH,No Poll
1893,HOME,OCT,25,1893,NO COACH,W,34-0,No Poll,KALAMAZOO,NO COACH,No Poll
1893,HOME,NOV,11,1893,NO COACH,W,8-6,No Poll,ALBION,COACH ATWOOD,No Poll
1893,HOME,NOV,23,1893,NO COACH,W,28-0,No Poll,De LaSALLE,UNKNOWN,No Poll
1893,HOME,NOV,30,1893,NO COACH,W,22-10,No Poll,HILLSDALE,NO COACH,No Poll
1893,AWAY,JAN,1,1894,NO COACH,L,0-8,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1894,HOME,OCT,13,1894,MORISON,W,14-0,No Poll,HILLSDALE,NO COACH,No Poll
1894,HOME,OCT,20,1894,MORISON,T,6-6,No Poll,ALBION,COACH GAGE,No Poll
1894,HOME,NOV,15,1894,MORISON,W,30-0,No Poll,WABASH,VERNON RANDALL,No Poll
1894,HOME,NOV,22,1894,MORISON,W,18-6,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
1894,HOME,NOV,29,1894,MORISON,L,12-19,No Poll,ALBION,COACH GAGE,No Poll
1895,HOME,OCT,19,1895,HADDEN,W,20-0,No Poll,NORTHESTERN LAW,UNKNOWN,No Poll
1895,HOME,NOV,7,1895,HADDEN,W,18-2,No Poll,ILLINOIS CYCLING,UNKNOWN,No Poll
1895,HOME,NOV,22,1895,HADDEN,L,0-18,No Poll,INDIANAPOLIS ARTILLERY,UNKNOWN,No Poll
1895,HOME,NOV,28,1895,HADDEN,W,32-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1896,HOME,OCT,8,1896,HERING,L,0-4,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1896,HOME,OCT,14,1896,HERING,L,0-18,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1896,HOME,OCT,27,1896,HERING,W,46-0,No Poll,SB COMMERCIAL AC,UNKNOWN,No Poll
1896,HOME,OCT,31,1896,HERING,W,24-0,No Poll,ALBION,COACH HOWE,No Poll
1896,HOME,NOV,14,1896,HERING,L,22-28,No Poll,PURDUE,S.M. HAMMOND,No Poll
1896,HOME,NOV,20,1896,HERING,W,82-0,No Poll,HIGHLAND VIEWS,UNKNOWN,No Poll
1896,HOME,NOV,26,1896,HERING,W,8-0,No Poll,BELOIT,C.M. HOLLISTER,No Poll
1897,HOME,OCT,13,1897,HERING,T,0-0,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
