HDR,ROLLING SYSTEM DEMAND,
VD,2.02109E+13,22640
VD,2.02109E+13,22558
VD,2.02109E+13,22443
VD,2.02109E+13,22466
VD,2.02109E+13,22413
VD,2.02109E+13,22278
VD,2.02109E+13,22189
VD,2.02109E+13,22282
VD,2.02109E+13,22267
VD,2.02109E+13,22242
VD,2.02109E+13,22209
VD,2.02109E+13,22095
VD,2.02109E+13,22017
VD,2.02109E+13,22006
VD,2.02109E+13,21939
VD,2.02109E+13,21900
VD,2.02109E+13,21931
VD,2.02109E+13,21888
VD,2.02109E+13,21838
VD,2.02109E+13,21810
VD,2.02109E+13,21788
VD,2.02109E+13,21768
VD,2.02109E+13,21661
VD,2.02109E+13,21576
VD,2.02109E+13,21574
VD,2.02109E+13,21618
VD,2.02109E+13,21622
VD,2.02109E+13,21589
VD,2.02109E+13,21583
VD,2.02109E+13,21509
VD,2.02109E+13,21525
VD,2.02109E+13,21530
VD,2.02109E+13,21512
VD,2.02109E+13,21530
VD,2.02109E+13,21550
VD,2.02109E+13,21619
VD,2.02109E+13,21646
VD,2.02109E+13,21680
VD,2.02109E+13,21689
VD,2.02109E+13,21628
VD,2.02109E+13,21573
VD,2.02109E+13,21640
VD,2.02109E+13,21647
VD,2.02109E+13,21468
VD,2.02109E+13,21514
VD,2.02109E+13,21586
VD,2.02109E+13,21640
VD,2.02109E+13,21707
VD,2.02109E+13,21880
VD,2.02109E+13,22057
VD,2.02109E+13,22266
VD,2.02109E+13,22343
VD,2.02109E+13,22446
VD,2.02109E+13,22367
VD,2.02109E+13,22482
VD,2.02109E+13,22685
VD,2.02109E+13,22787
VD,2.02109E+13,22820
VD,2.02109E+13,22935
VD,2.02109E+13,23035
VD,2.02109E+13,23019
VD,2.02109E+13,23022
VD,2.02109E+13,23038
VD,2.02109E+13,23135
VD,2.02109E+13,23344
VD,2.02109E+13,23635
VD,2.02109E+13,23877
VD,2.02109E+13,24278
VD,2.02109E+13,24529
VD,2.02109E+13,24970
VD,2.02109E+13,25308
VD,2.02109E+13,25698
VD,2.02109E+13,26120
VD,2.02109E+13,26695
VD,2.02109E+13,27288
VD,2.02109E+13,27672
VD,2.02109E+13,27946
VD,2.02109E+13,28257
VD,2.02109E+13,28472
VD,2.02109E+13,28766
VD,2.02109E+13,29108
VD,2.02109E+13,29394
VD,2.02109E+13,29564
VD,2.02109E+13,29760
VD,2.02109E+13,30042
VD,2.02109E+13,30452
VD,2.02109E+13,30837
VD,2.02109E+13,31026
VD,2.02109E+13,31171
VD,2.02109E+13,31303
VD,2.02109E+13,31437
VD,2.02109E+13,31406
VD,2.02109E+13,31469
VD,2.02109E+13,31588
VD,2.02109E+13,31659
VD,2.02109E+13,31653
VD,2.02109E+13,31716
VD,2.02109E+13,31802
VD,2.02109E+13,31943
VD,2.02109E+13,31911
VD,2.02109E+13,31908
VD,2.02109E+13,31843
VD,2.02109E+13,31814
VD,2.02109E+13,31810
VD,2.02109E+13,31615
VD,2.02109E+13,31580
VD,2.02109E+13,31634
VD,2.02109E+13,31731
VD,2.02109E+13,31699
VD,2.02109E+13,31648
VD,2.02109E+13,31444
VD,2.02109E+13,31364
VD,2.02109E+13,31598
VD,2.02109E+13,31739
VD,2.02109E+13,31709
VD,2.02109E+13,31553
VD,2.02109E+13,31537
VD,2.02109E+13,31462
VD,2.02109E+13,31461
VD,2.02109E+13,31488
VD,2.02109E+13,31417
VD,2.02109E+13,31523
VD,2.02109E+13,31527
VD,2.02109E+13,31584
VD,2.02109E+13,31605
VD,2.02109E+13,31554
VD,2.02109E+13,31590
VD,2.02109E+13,31397
VD,2.02109E+13,31344
VD,2.02109E+13,31327
VD,2.02109E+13,31427
VD,2.02109E+13,31398
VD,2.02109E+13,31538
VD,2.02109E+13,31469
VD,2.02109E+13,31511
VD,2.02109E+13,31475
VD,2.02109E+13,31511
VD,2.02109E+13,31519
VD,2.02109E+13,31554
VD,2.02109E+13,31695
VD,2.02109E+13,31695
VD,2.02109E+13,31741
VD,2.02109E+13,31740
VD,2.02109E+13,31649
VD,2.02109E+13,31632
VD,2.02109E+13,31637
VD,2.02109E+13,31693
VD,2.02109E+13,31712
VD,2.02109E+13,31685
VD,2.02109E+13,31688
